Time,Prognozowane zapotrzebowanie sieci,Przewidywana generacja JW i magazynów energii wiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9),Prognozowana generacja JW i magazynów energii nie wiadcz¹cych us³ug bilansuj¹cych w ramach RB,Prognozowana sumaryczna generacja róde³ wiatrowych,Prognozowana sumaryczna generacja róde³ fotowoltaicznych,Planowane saldo wymiany miêdzysystemowej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹cych z warunków eksploatacyjnych JW wiadcz¹cych us³ugi bilansuj¹ce w ramach RB,da1_price,day_of_week,month,hour
2023-05-08 02:00:00+00:00,12714,8309,4300,1667,0,105,0,0.0,470.0,0,5,2
2023-05-08 03:00:00+00:00,12789,8176,4109,1482,0,505,0,0.0,480.0,0,5,3
2023-05-08 04:00:00+00:00,13162,8617,4040,1387,0,505,0,0.0,496.0,0,5,4
2023-05-08 05:00:00+00:00,13531,9057,3970,1257,72,504,0,0.0,520.0,0,5,5
2023-05-08 06:00:00+00:00,15208,10769,4150,1180,745,289,0,0.0,550.0,0,5,6
2023-05-08 07:00:00+00:00,16630,11697,4644,819,2587,289,0,0.0,562.0,0,5,7
2023-05-08 08:00:00+00:00,16431,10792,5518,801,4697,121,0,0.0,542.59,0,5,8
2023-05-08 09:00:00+00:00,15382,8949,6674,1101,6634,-241,0,0.0,480.0,0,5,9
2023-05-08 10:00:00+00:00,14447,8128,7496,1546,7651,-1178,0,0.0,385.42,0,5,10
2023-05-08 11:00:00+00:00,15106,8326,7569,1768,7365,-789,0,0.0,360.0,0,5,11
2023-05-08 12:00:00+00:00,15309,8150,7564,1772,7322,-405,0,0.0,360.0,0,5,12
2023-05-08 13:00:00+00:00,15094,7496,7540,1677,7508,59,0,0.0,359.92,0,5,13
2023-05-08 14:00:00+00:00,15151,7969,7123,1563,6894,59,0,0.0,370.0,0,5,14
2023-05-08 15:00:00+00:00,15506,8581,6820,1507,6278,105,0,0.0,427.48,0,5,15
2023-05-08 16:00:00+00:00,15484,9228,6176,1381,5060,80,0,0.0,472.0,0,5,16
2023-05-08 17:00:00+00:00,16595,10840,5352,1256,3331,404,0,0.0,542.59,0,5,17
2023-05-08 18:00:00+00:00,17755,12228,4587,1195,1364,939,0,0.0,563.72,0,5,18
2023-05-08 19:00:00+00:00,18608,13540,4067,1132,234,1001,0,0.0,587.0,0,5,19
2023-05-08 20:00:00+00:00,19471,14185,4096,1291,4,1190,0,0.0,591.01,0,5,20
2023-05-08 21:00:00+00:00,18865,12906,4314,1538,0,1645,0,0.0,563.62,0,5,21
2023-05-08 22:00:00+00:00,17014,10341,5035,2338,0,1638,0,0.0,525.0,0,5,22
2023-05-08 23:00:00+00:00,15629,9253,5579,2889,0,796,0,0.0,460.0,0,5,23
2023-05-09 00:00:00+00:00,14867,9129,5663,2952,0,75,0,0.0,500.0,1,5,0
